userID,ISBN,bookRating,bookTitle,totalRatingCount,Location
276725,034545104X,0,Flesh Tones: A Novel,60,"tyler, texas, usa"
2313,034545104X,5,Flesh Tones: A Novel,60,"cincinnati, ohio, usa"
6543,034545104X,0,Flesh Tones: A Novel,60,"strafford, missouri, usa"
8680,034545104X,5,Flesh Tones: A Novel,60,"st. charles county, missouri, usa"
10314,034545104X,9,Flesh Tones: A Novel,60,"beaverton, oregon, usa"
23768,034545104X,0,Flesh Tones: A Novel,60,"st. louis, missouri, usa"
28266,034545104X,0,Flesh Tones: A Novel,60,"portland, oregon, usa"
28523,034545104X,0,Flesh Tones: A Novel,60,"springfield, missouri, usa"
50403,034545104X,9,Flesh Tones: A Novel,60,"conway, arkansas, usa"
56157,034545104X,0,Flesh Tones: A Novel,60,"florissant, missouri, usa"
59102,034545104X,0,Flesh Tones: A Novel,60,"plantation, florida, usa"
59287,034545104X,0,Flesh Tones: A Novel,60,"tyler, texas, usa"
63970,034545104X,8,Flesh Tones: A Novel,60,"springfield, missouri, usa"
77480,034545104X,8,Flesh Tones: A Novel,60,"gig harbor, washington, usa"
81977,034545104X,0,Flesh Tones: A Novel,60,"minneapolis, minnesota, usa"
94362,034545104X,5,Flesh Tones: A Novel,60,"northridge, california, usa"
98391,034545104X,9,Flesh Tones: A Novel,60,"morrow, georgia, usa"
112199,034545104X,6,Flesh Tones: A Novel,60,"union, kentucky, usa"
115435,034545104X,5,Flesh Tones: A Novel,60,"cincinnati, ohio, usa"
123981,034545104X,0,Flesh Tones: A Novel,60,"phoenix, arizona, usa"
128045,034545104X,7,Flesh Tones: A Novel,60,"clearwater, florida, usa"
129311,034545104X,7,Flesh Tones: A Novel,60,"portland, oregon, usa"
132081,034545104X,0,Flesh Tones: A Novel,60,"cranston, rhode island, usa"
133235,034545104X,0,Flesh Tones: A Novel,60,"addison, texas, usa"
135045,034545104X,0,Flesh Tones: A Novel,60,"spring, texas, usa"
138543,034545104X,0,Flesh Tones: A Novel,60,"mesquite, texas, usa"
144315,034545104X,0,Flesh Tones: A Novel,60,"tempe, arizona, usa"
144486,034545104X,0,Flesh Tones: A Novel,60,"jacksonville, florida, usa"
145451,034545104X,0,Flesh Tones: A Novel,60,"winter haven, florida, usa"
147799,034545104X,0,Flesh Tones: A Novel,60,"saint louis, missouri, usa"
158506,034545104X,0,Flesh Tones: A Novel,60,"woodland hills, california, usa"
163202,034545104X,0,Flesh Tones: A Novel,60,"los angeles, california, usa"
168816,034545104X,0,Flesh Tones: A Novel,60,"santa clara, california, usa"
171912,034545104X,5,Flesh Tones: A Novel,60,"springfield, missouri, usa"
173743,034545104X,0,Flesh Tones: A Novel,60,"gloucester, massachusetts, usa"
174834,034545104X,0,Flesh Tones: A Novel,60,"portland, oregon, usa"
188513,034545104X,4,Flesh Tones: A Novel,60,"brookfield, wisconsin, usa"
195374,034545104X,0,Flesh Tones: A Novel,60,"navarre, florida, usa"
208019,034545104X,0,Flesh Tones: A Novel,60,"tomball, texas, usa"
208406,034545104X,6,Flesh Tones: A Novel,60,"kansas city, missouri, usa"
210597,034545104X,9,Flesh Tones: A Novel,60,"lake winnebago, missouri, usa"
214011,034545104X,10,Flesh Tones: A Novel,60,"new castle, new hampshire, usa"
220502,034545104X,3,Flesh Tones: A Novel,60,"dedham, massachusetts, usa"
227106,034545104X,0,Flesh Tones: A Novel,60,"st. peters, missouri, usa"
227447,034545104X,0,Flesh Tones: A Novel,60,"kelseyville, california, usa"
